Clean_seq_ID	Species	Casts	Casts+colonies
DE26NGSUKBD140733Dm	C. Domesticus	King-C. Domesticus	King-C. Domesticus-Colony1
DE96NGSUKBD140734Dm	C. Domesticus	Queen-C. Domesticus	Queen-C. Domesticus-Colony1
DE69NGSUKBD140735Dm	C. Domesticus	Worker-C. Domesticus	Worker-C. Domesticus-Colony1
DE42NGSUKBD140736Dm	C. Domesticus	Worker-C. Domesticus	Worker-C. Domesticus-Colony1
DE15NGSUKBD140737Dm	C. Domesticus	Worker-C. Domesticus	Worker-C. Domesticus-Colony1
DE85NGSUKBD140738Dm	C. Domesticus	Worker-C. Domesticus	Worker-C. Domesticus-Colony1
DE58NGSUKBD140739Dm	C. Domesticus	Worker-C. Domesticus	Worker-C. Domesticus-Colony1
DE31NGSUKBD140740Dm	C. Domesticus	King-C. Domesticus	King-C. Domesticus-Colony2
DE04NGSUKBD140741Dm	C. Domesticus	Queen-C. Domesticus	Queen-C. Domesticus-Colony2
DE74NGSUKBD140742Dm	C. Domesticus	Worker-C. Domesticus	Worker-C. Domesticus-Colony2
DE47NGSUKBD140743Dm	C. Domesticus	Worker-C. Domesticus	Worker-C. Domesticus-Colony2
DE20NGSUKBD140744Dm	C. Domesticus	Worker-C. Domesticus	Worker-C. Domesticus-Colony2
DE90NGSUKBD140745Dm	C. Domesticus	Worker-C. Domesticus	Worker-C. Domesticus-Colony2
DE63NGSUKBD140746Dm	C. Domesticus	Worker-C. Domesticus	Worker-C. Domesticus-Colony2
DE64NGSUKBD140728Sc	C. Secundus	Worker-C. Secundus	Worker-C. Secundus-Colony1
DE37NGSUKBD140729Sc	C. Secundus	Worker-C. Secundus	Worker-C. Secundus-Colony1
DE10NGSUKBD140730Sc	C. Secundus	Worker-C. Secundus	Worker-C. Secundus-Colony1
DE80NGSUKBD140731Sc	C. Secundus	Worker-C. Secundus	Worker-C. Secundus-Colony1
DE53NGSUKBD140732Sc	C. Secundus	Worker-C. Secundus	Worker-C. Secundus-Colony1
DE21NGSUKBD140726Sc	C. Secundus	King-C. Secundus	King-C. Secundus-Colony1
DE91NGSUKBD140727Sc	C. Secundus	Queen-C. Secundus	Queen-C. Secundus-Colony1
DE16NGSUKBD140719Sc	C. Secundus	King-C. Secundus	King-C. Secundus-Colony2
DE86NGSUKBD140720Sc	C. Secundus	Queen-C. Secundus	Queen-C. Secundus-Colony2
DE59NGSUKBD140721Sc	C. Secundus	Worker-C. Secundus	Worker-C. Secundus-Colony2
DE32NGSUKBD140722Sc	C. Secundus	Worker-C. Secundus	Worker-C. Secundus-Colony2
DE05NGSUKBD140723Sc	C. Secundus	Worker-C. Secundus	Worker-C. Secundus-Colony2
DE75NGSUKBD140724Sc	C. Secundus	Worker-C. Secundus	Worker-C. Secundus-Colony2
DE48NGSUKBD140725Sc	C. Secundus	Worker-C. Secundus	Worker-C. Secundus-Colony2
